"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60","cell61","cell62","cell63","cell64","cell65","cell66","cell67","cell68","cell69","cell70","cell71","cell72","cell73","cell74","cell75","cell76","cell77","cell78","cell79","cell80","cell81","cell82","cell83","cell84","cell85","cell86","cell87","cell88","cell89","cell90","cell91","cell92","cell93","cell94","cell95","cell96","cell97","cell98","cell99","cell100"
"gene11",467.562762606125,0,422.580547952654,0,0,0,0,98.491395756607,882.120466199199,0,0,0,0,0,0,283.401876652857,0,0,166.540411839721,0,0,1289.82845291564,0,114.189344383906,0,2698.04177799666,358.07694528198,679.854906541316,657.59680445507,0,113.808759587295,91.8620095551734,0,732.874235075324,336.024588048454,342.539710403006,0,0,0,2358.67545143948,239.582159863506,0,0,0,0,182.294156875968,105.402577221435,130.540978006002,2264.03317431309,553.55552163758,0,0,0,1597.61610424809,0,0,609.426676458232,1108.44652288491,261.127845947251,0,241.951240846954,845.385333597545,0,0,0,0,53.3590618268898,0,0,0,0,0,0,285.772910020907,232.833834755031,126.882335845873,545.158196714123,547.741913892046,0,155.969416434809,0,27.4986741335987,0,814.92364050384,203.640203118333,0,0,1265.90910386894,428.174200290913,565.137370293526,0,290.552235829323,72.0182488704901,906.852207083056,0,0,885.272793506907,1818.49279978128,0,0
"gene12",93.439053261064,0,178.475927879443,0,662.734316784328,49.4804377645104,0,0,0,193.214212592156,83.9358799072514,0,0,0,0,0,0,0,0,379.550807680809,0,0,0,0,0,30.3230970806281,0,94.4836761911004,397.971099913658,0,0,0,0,107.170666535069,0,0,31.5517612311115,131.0078370538,0,0,73.7441560339346,0,248.855247901416,0,0,0,0,136.816948090134,0,287.768214680139,28.8885123019595,205.674395288005,0,134.495395754183,22.2751660286847,0,0,0,214.429798851837,0,0,0,0,0,0,0,0,0,0,524.569638420139,660.343201473877,0,0,0,0,95.5619253343924,115.842243046909,0,0,0,0,164.406525083148,0,145.320153738732,0,0,312.886439219499,0,233.263047028752,0,0,0,0,219.786734370897,0,0,0,0,0,74.3804152255569
"gene13",0,127.495299814291,0,48.1721832248392,0,23.6823485544161,5.68872258463559,0,0,0,0,0,0,0,0,0,0,73.0880249576303,0,0,0,0,328.771503773963,0,0,0,0,0,0,0,3.18331766651913,0,6.48725336951788,0,0,0,0,34.1710371912503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2067181999055,0,51.6292113683539,0,0,0,0,0,0,0,176.526924521224,0,0,0,0,0,0,0,0,0,12.3790532233257,6.26971277671487,0,0,0,43.7106131290028,0,0,0,0,0,164.225613554237,0,0,59.2755790248025,0,11.2803895836195,0,0,31.5862743056944,0,28.8486286193113,0,0,0
"gene14",0,0,0,0,1.00572576332053,0.0294893083959369,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54601864552345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98973820490264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene15",0,6.98066954564846,0,0,0,337.911850231379,0,510.698918715929,0,32.9700313657798,0,0,50.3512620534372,120.367470349072,0,0,0,223.517484189133,0,0,134.596882065573,1433.74386610294,0,0,0,0,0,909.185088919572,0,4.11900642041696,99.748855553927,0,0,398.203679778769,43.076578585174,0,0,194.785158489811,0,5717.1815156146,0,685.448018493119,0,0,0,0,0,0,0,0,228.138938138576,676.170652786749,2351.85894860059,0,122.754095775152,0,328.094596918545,447.179183049275,0,0,0,0,0,50.5009059237058,0,0,1534.45711626581,1031.06738159731,199.992141741905,0,4.00966061172087,108.78412746989,0,0,273.07654895464,0,0,161.327276272445,2670.48716014216,0,127.81310188392,0,1319.31181317468,0,67.944994272231,0,0,92.0006833368028,0,109.331529561401,0,87.7393514164501,373.33789228524,147.472078079008,189.449498608002,0,0,0,38.1935921428082,0
"gene16",0,0,0,0,0,59.6351019845583,89.0796053526296,0,86.9635452631772,0,169.379425024747,0,294.062725569517,0,2.57491036922619,0,0,0,0,47.5937219441587,0,0,239.937051752461,0,0,0,0,0,0,383.471732118203,0,0,0,0,716.690707507507,0,0,0,0,0,0,0,0,2.59973914508845,0,0,101.422271542879,380.302928540197,55.8877151176295,0,0,0,0,90.7487804989406,208.295975759783,0,0,0,0,129.926183543367,0,0,0,214.197412785238,0,78.8628913992698,53.3285670229029,0,199.840573050928,0,599.730487014538,0,370.395303771027,0,0,0,0,130.292749841072,0,0,0,0,0,0,0,1169.27392173484,0,233.973908352892,118.467828970742,0,0,0,9.27231816346253,0,0,0,0,0,0,0
"gene17",0,0,0,0,0,210.304306301901,0,420.895908251986,50.8687473833443,0,0,0,302.560913332566,95.9447465011713,0,0,115.457075759536,0,0,0,0,0,30.3854646141392,0,40.6732352099063,0,0,0,0,0,39.3807277320936,0,0,34.3952264118626,0,0,0,33.8248940776499,0,12.8170320971414,0,40.5561874844725,0,3.80747287288536,0,38.1243291496829,0,0,39.418212383428,0,20.003997424419,62.2771675925395,0,0,0,0,0,0,0,44.8180133074137,0,0,0,0,32.3273930515576,0,0,126.859251289138,0,0,0,0,268.988918202621,0,0,336.789424331339,46.5158049488072,0,0,0,0,0,0,0,0,0,0,0,0,56.4333994266676,0,0,0,37.0098478126732,77.5129241901608,0,0,0,0,581.704758364533
"gene18",0,2136.44239316883,0,111.343989999234,0,0,0,3067.7928821749,21.978601730549,0,0,184.536382882532,23.1916168562949,0,0,0,995.964375279177,323.204958292534,37.2599325432226,262.121061877576,60.861247275248,426.087804301052,0,0,48.0154749270021,0,1057.49300514586,87.8099609177474,821.955765973363,0,0,0,663.083151977873,125.427309342864,0,142.864770504555,118.867651217066,0,0,0,0,0,177.24684677063,0,0,484.811852218951,6.88619185925696,0,1056.22346485851,0,0,0,0,0,0,0,0,0,21.1805167657712,0,244.959764772723,200.304451543863,0,0,0,632.997663381419,0,0,724.279833617026,164.952822980067,0,283.329881142766,0,86.1626700382497,0,0,0,0,0,30.2317315353912,78.7725657942341,0,0,73.9550933585487,202.560635056046,0,0,0,158.602164718898,0,0,0,0,0,0,522.364497722604,116.004196012295,287.349926460522,0,0
"gene19",666.297199384889,0,13.4593276484034,866.328560866536,355.0416122159,0,2580.72741104377,44.6525759171297,0,257.66164927881,0,385.52501032157,0,624.60298383082,0,686.881721917897,204.260982442977,67.0774544617159,887.948277651972,0,0,7066.31665918502,0,523.072185057714,624.439451023902,0,0,1705.4945009464,0,0,351.685459626488,0,153.709690730104,0,33.7806266720658,0,0,0,0,0,0,0,305.088847523119,854.689256157471,0,0,55.9550441242896,74.187294631617,583.122064477055,49.6204092199907,250.994762121916,0,0,0,0,100.946167584952,185.95954154731,1518.64064161681,0,206.95021258261,0,192.964930652531,320.883817265186,0,182.290343404108,265.145850128447,401.065691726191,0,0,0,1176.04477921612,0,0,0,0,160.583548199736,927.858419462483,0,0,0,0,0,0,457.665277266156,0,0,228.284878429501,0,0,0,681.468122823261,986.445853583684,0,11260.7803900193,320.869794948972,1350.8525888227,0,106.281899148265,0,11438.3739223355
"gene20",0,80.4439703163086,0,361.196042809326,0,0,87.8554230983413,282.972538830614,28623.5764445112,0,0,0,0,0,1144.76071251435,10.880999989463,117.204562502811,0,0,0,0,7331.73416536613,0,0,0,6987.26245767621,0,590.325299149359,0,0,0,0,0,0,9.5475182150405,4.52761560912348,33.4363260649843,201.349140367486,249.25585830175,0,0,20.2281027280586,0,8.54308951483996,7.4713420502605,0,0,0,145.831132393843,0,74.0922566067954,0,309.578790808866,0,0,0,0,117.171401395769,0,43.0369956958924,0,0,0,0,0,0,0,17.3097738816546,539.493336396604,0,0,2548.47975825432,3693.74534442952,0,0,0,0,0,0,0,0,0,14.1941474046793,0,0,185.932814410562,0,28.3099564465952,73.2335843728369,5.99011210657773,0,0,4752.98521826789,0,0,0.160873361870871,0,0,0,751.085805687183
"gene21",224.777413043411,712.843110085044,0,0,0,0,0,0,0,1209.97861086999,404.602384827867,0,236.634599321074,0,98.8744068088361,166.946848394723,0,0,86.5615803959645,1277.49548915304,0,0,0,0,0,105.109494888337,0,445.563211147837,0,0,66.2214559076478,0,54.8301358175575,0,0,77.2591710795641,363.884105699636,0,0,0,0,0,0,131.501074241314,0,615.916943745937,0,290.363014084875,0,0,0,48.6879797931646,0,477.496197136065,360.67720439014,0,0,0,0,0,0,0,0,76.5486869674848,32.2306056378669,0,0,133.59367009489,579.817088460274,35.0545804259243,11.7410373572645,339.642236716727,0,0,0,543.392033886646,0,0,159.826449159782,0,48.8411847353113,177.241340589524,0,0,0,0,2123.53535789674,209.796388641458,71.0493157999362,0,50.9694003900953,0,349.544262472872,143.033505147794,0,0,203.353575890227,0,0,175.011835110082
"gene22",807.295890722237,0,74.947531888041,0,0,0,481.186836176694,0,0,88.2582621921377,0,495.369150039525,0,0,0,0,0,243.8315078626,0,38.2910366346957,0,355.245010956719,0,0,0,0,593.778215044611,0,12.8900854700714,0,0,0,0,256.034164084839,152.19378442183,196.847774683102,421.794078907542,0,0,274.107964886257,658.766217709875,0,947.780875809915,224.491512186975,1124.79085094576,0,113.181863497515,14.4985589485904,0,0,267.288904877416,37.7723372871439,0,0,0,17.2724021960425,0,828.569966959184,161.265229385487,0,1058.46778931664,0,0,0,0,0,0,506.545887579809,124.038849306489,0,0,0,115.384031034338,119.079830382318,0,0,0,0,0,0,32.8387891249292,0,0,330.225455846254,294.691749824267,0,89.2496614166575,0,215.36901970161,8.04097983150861,0,0,0,0,0,0,0,0,14.4993873180426,0
"gene23",0,0,0,0,0,0,0,248.976794219935,148.069101346616,51.6147473310368,0,8.54299014964719,51.310307762665,0,260.721974639078,0,0,0,84.2419629172237,0,0,0,25.1152694411273,0,0,0,0,0,163.969189136023,0,0,0,631.826112247198,0,0,0,0,0,29.3891833918148,96.8597486634385,0,237.120404006094,21.652865969133,0,0,0,0,31.8032049837876,0,0,7.69749348518135,0,0,0,0,0,8.47127613714575,0,219.093512551646,32.4048119553013,0,0,42.5808291758139,0,0,0,0,0,0,60.8143403206701,163.621333130235,0,0,0,123.44721818167,0,0,27.5372205499994,0,119.35315513023,0,0,331.458482076292,0,0,0,0,0,0,11.4087073098527,0,0,0,0,0,0,0,84.8053129788071,0,0
"gene24",0,0,0,0,0,0,0,0,21.98922166332,0,0,0,0,0,0,0,0,0,1.31286342209077,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8656134833562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3159967589155,0,0,0,0,0,0
"gene25",0,10.4033222661965,141.176468972411,0,0,0,0,20.5243847205653,0,0,0,0,12.8662239931331,0,0,0,0,699.83785945051,0,0,100.451464185684,0,704.247950791208,65.7984589296313,20.3445239483513,0,22613.5301523716,276.916472480963,0,0,271.586336783089,4042.80500739101,0,4892.73184834321,0,345.561374161251,0,813.271307146778,0,5.32374892866916,0,206.007613836341,0,0,12.2932067509566,0,0,0,5.18796298164487,0,0,1413.80769067592,0,0,868.625285872266,0,135.932155820048,0,0,0,0,0,0,0,3.37833445302727,9.05127775428464,0,10.1745312824649,0,60.385520799142,193.428896773003,0,0,0,0,0,0,0,7.31157355483387,6.08274825478299,0,0,0,0,0,777.586126480183,0,0,0,213.230940401855,0,0,0,0,49.1793226023054,665.113125709328,252.306175515901,0,5.35034850554709,0
"gene26",0,0,0,0,0,0,120.027225261073,0,1.58898819270764,14.2268880227835,152.617323878933,15.7550518991339,0,0,0,0,21.6611678418987,0,0,0,7.63978530908039,105.702369166998,0,0,0,0,0,0,0,0,0,0,47.2577379784053,0,19.2232941575608,67.0754218216806,0,0,0,0,31.7825731051868,0,0,67.4708216769942,0,0,0,0,28.2128113491429,0,0,0,0,0,0,0,0,0,0,0,0,0,428.461395319309,0,12.2923252594008,0,0,0,24.1302928178193,0,0,0,0,0,0,162.900063760534,0,26.7580829255849,3.74765745219261,0,289.199608046105,124.316532750947,0,0,0,0,478.622247594413,0,0,173.151880784551,0,0,59.4762098444286,0,0,0,0,0,0,13.9000468124598
"gene27",0,69.3508823191649,0,43.5853930822512,0,149.898882996431,0,0,478.665786017455,0,0,70.818518592075,0,0,317.54929287409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.169874595912,0,0,0,0,39.4912361013217,0,0,0,0,0,26.5052626615307,0,0,0,32.5287920673274,0,0,0,0,0,50.9998713816815,0,0,0,0,0,0,79.5446943377156,64.7313778273642,0,0,180.459474936857,0,0,0,0,0,0,0,46.0422962453048,56.8492675917541,203.799719018106,55.4966124797521,0,81.9322886971971,0,0,0,0,0,101.4851497732,210.483614814848,0,0,0,251.350459429723,165.833779900237,0,2881.07450317687,0,68.0856697947448,0,0,24.9242212823277,0
"gene28",0,0,0,0,0,0,0,0,0,0,0,0,14.9553309953301,0,0,29.5350020525553,0,0,0,0,0,0,0,0,0,0,0,0,22.2406314496257,0,0,0,0,4.34225997107422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2973992245885,6.62067642087825,0,0,0,0,0,0,0,0,2.07515632044157,0,0,0,13.2391528716109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1078524558615,2.15424260903912,0,0,0
"gene29",5.3876681285321,0,0,42.0520572314676,0,0,0,0,0,0,0,184.6092351128,0,0,0,0,0,7.73068556744331,0,0,0,0,0,0,134.439064220483,0,0,0,0,0,0,0,16.5144166657818,0,0,0,0,0,0,0,0,13.8405596919706,0,16.6795287384609,17.5818152019717,0,0,0,0,5.26329223818382,0,0,0,0,0,58.3638109911263,47.6016254865551,0,0,0,0,13.2668040591375,12.2236630694605,0,0,0,0,0,0,0,0,0,0,55.8075196867895,135.0602985006,0,0,0,0,0,0,0,9.86585333733895,0,65.0316028621067,0,5.62011788798783,0,0,16.8667426849762,0,0,0,0,0,232.075415429813,0,0,0,0
"gene30",106.869488275373,0,0,83.6559329874396,0,2971.09886913953,0,0,0,1893.19517596065,31.776674647254,0,0,30.2360727798936,0,0,17.5441549855788,0,0,6.51402155572127,0,0,0,0,0,157.187115541994,0,0,0,126.002560528591,0,0,0,20.8890159008459,0,0,0,0,585.55948150508,22.3269323649051,253.957457086658,18.6374867217661,0,0,1266.36961904942,430.036912083632,0,0,48.7128388742536,102.474372671079,0,0,0,0,0,0,0,282.83993994633,80.7387414516461,0,8.93331746198549,0,212.999709094795,3.52712383559881,0,0,0,13.0159451257102,0,0,0,0,0,1.14308355194653,0,0,0,0,0,0,0,139.861007855784,0,303.332505563965,193.187993476963,237.960201782877,5.44330072421829,0,0,68.5666635946874,0,0,52.4227815381387,0,0,380.937416333474,0,0,0,0
"gene31",0,398.136553962585,0,110.021978272915,4480.58068077067,0,0,321.837827702707,398.338349557205,0,18.249836400344,0,757.468058516637,317.466253030622,0,138.017216128877,160.267404600886,150.730545983499,593.546928086787,0,106.469127021154,0,0,0,3396.94207333429,15.2112882728889,0,0,533.928095804115,242.412443981091,0,0,0,0,173.483295161545,0,0,1055.62524525881,0,0,0,0,336.883370881767,174.741870952057,0,63.5517010592768,0,204.35030005075,0,370.101814538652,807.686719323912,0,0,485.352975210846,0,1178.14601512534,235.09092073522,0,0,0,309.228323547139,770.895174244108,34.1774977687128,139.719906269962,0,0,236.456931721237,510.430982570784,0,0,333.584809801259,2069.69218465177,0,1555.95004899178,0,133.600404267154,0,0,0,699.410383053317,0,0,0,0,43.8454788590863,0,797.954371428947,0,0,0,0,0,541.043062000307,76.3669381053813,0,0,145.895116610305,61.7481110706527,62.6706469192863,0
"gene32",0,727.176914960059,60.9270217551381,0,0,0,0,0,39.454186569221,0,0,0,0,0,0,84.921944532772,0,0,0,0,0,0,0,0,0,0,5.81428244171626,0,2.07176747289073,0,0,0,118.65420756769,0,0,0,0,0,0,0,0,0,323.011820826758,312.0487785665,0,56.4961364158554,37.5435137080284,0,0,0,20.9464324275686,0,76.8503180961407,0,0,0,0,0,34.522543141038,0,0,0,0,0,11.846252421792,0,0,291.214611901615,49.600379835773,0,345.061864002,0,43.6671617017463,0,0,62.7231251655354,0,0,113.575538275799,0,0,0,0,0,20.1148034640632,0,0,0,0,0,0.697769974255948,0,0,0,2.93525038823831,0,0,23.9105304712629,1.2261031792008,0
"gene33",0,249.602542752135,0,0,0,0,147.797287034848,115.191447557728,104.350713281313,0,0,65.221964771083,269.35566185128,0,407.715228726093,0,712.528585399342,0,0,0,0,0,0,0,0,93.4365611333656,0,0,0,0,0,0,0,138.162072961641,92.6874747245501,124.809159601307,44.356188080041,794.175653028795,0,0,1358.16261473303,0,2883.94882869577,0,132.803352611361,25.400857233024,0,0,0,0,69.3743911681865,0,0,0,0,0,500.23658339651,46.7518716147456,0,0,0,274.336682137103,176.709458068807,0,0,47.36566244011,0,0,39.940600957203,0,63.0661141150726,0,0,1221.88182234563,0,0,0,81.0072548395613,0,62.6764677866897,0,0,269.006756538242,0,0,0,0,186.978453053573,0,0,0,0,0,0,0,0,217.176904749887,0,0,0
"gene34",0,107.461546450412,0,0,0,0,0,0,0,0,0,0,122.116897949343,25.3152897187268,0,0,0,0,0,0,0,0,0,0,0,32.0798214468719,12.2467365249454,74.2732167345664,0,0,0,0,0,0,0,0,0,0,0,0,0,141.384511796467,488.517765265405,0,471.791836297311,4.54787302351444,0,0,0,135.309282791154,0,3.14325842789314,108.382937522676,0,0,0,0,0,0,0,0,0,0,257.313648677166,21.2153691605265,0,0,0,0,0,0,0,41.239210643555,0,11.3618741175888,91.2827614502643,26.7552629933338,0,0,0,0,0,426.19892513322,0,26.1548497837414,315.507244054667,0,0,0,0,0,0,0,131.867348731631,310.399307718307,18.9444373769052,17.0316674291462,0,0,0
"gene35",0,0,29.727149510478,0,0,0,0,64.9011307802077,0,0,0,0,0,5.46000986033811,0,0,0,0,0,0,0,0,0,0,0,9.19919697745905,0,0,0,0.391935050613767,0,0,0,76.9923090878943,4.44415517857826,0,0,0,0,0,0,0,30.5151325847989,0,0,35.5141122873585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.359050497277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene36",0,0,354.498313014335,1539.70367953507,0,0,0,45.3540875611665,0,0,0,0,231.887702354981,0,0.352737543640211,0,0,0.583754850596559,0,0,9.57364101381116,0,0,9.37760573421796,0,0,0,0,0,0,0,0,17.2860358928553,94.1591488822867,0,0,0,0,32.2944300799737,0,0,0,0.118836796134875,0,27.500697193618,0,0,0,0,0,0,0,0,0,0,0,0,0,318.239544942874,0,0,279.53097569872,0,0,0,0,0,0,0,0,203.313134117679,0,0,0,0,0,7.79148894283576,0,0,0,0,0,0,0,21.7971396380776,0,0,0,0,0,0,0,13.2834975135695,68.5441163508239,0,0,0,50.3037602663104,0,6.94854797207953
"gene37",0,4.96594682444044,0,0,0,0,0,0,0,0,7.59119970273063,0,0,0,0,0,0,8.3112133123455,0,0,0,0,51.3907654070983,0,97.6341443122743,5.55359530600083,0,0,0,13.4168077975453,0,0,0,0,0,0,0,0,0,0,0,2.19624114699008,0,0,5.73781625092347,0,0,0,0,0,804.72017898697,0,9.35929602940092,19.045846835977,0,51.4471416868314,0,0,38.4107147118768,0,0,327.814095982399,20.5010180116712,30.0137895450474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.728739399625,0,0,0,0,0,53.6653151141633,0,0,0,0,0,0,0,0,404.632109869242,0,3.07930013349682,0,27.37672727123,0,0
